Category ,Prompt ,Choice 1 ,Choice 2,C1 V1 (Happiness) Effect,C1 V2 (Health) Effect,C1 V3 (Extra Cash) Effect,C1 V4 (Savings) Effect,C2 V1 (Happiness) Effect,C2 V2 (Health) Effect,C2 V3 (Extra Cash) Effect,C2 V4 (Savings) Effect
Education ,Do you currently have or anticipate having student loans?,No,Yes,0,0,-10,-10,0,0,-10,-10
Education ,Your job is offering an extra training course FOR FREE. You'll be more qualified for higher paying jobs but will need to work harder in the short run.  ,Decline ,Take the Course,0,10,-10,0,0,-10,10,0
Education ,You've always wanted to try and learn a fun new skill and they are offering classes in your neighborhood. It sounds really fun-10-10do you sign up?,No,Yes,-10,0,10,0,10,0,-10,0
Education ,Are you interested in earning a graduate degree or higher?,No,Yes,0,0,-10,-10,0,0,-10,-10
Education ,Are you planning on working in a public service field that provides loan forgiveness?,No,Yes,0,0,-10,-10,0,0,10,10
Education ,Are you planning on attending school full-10time or part-10time while working?,Full Time,Part Time ,0,0,-10,0,0,0,10,0
Happiness,You're having a pretty rough day. You could treat yourself to something small you enjoy but it'll cost [_]. ,Save money,Treat Yo Self!,-10,0,10,0,10,0,-10,0
Happiness,Do you want to spend some extra cash to subscribe to your favorite entertainment streaming service for a happiness boost?,Save money,Treat Yo Self!,-10,0,10,0,10,0,-10,0
Happiness,Your job offers wellness incentives! Enjoy a relaxing massage and replenish either your happiness or health.  ,Happiness,Health ,10,-10,0,0,-10,10,0,0
Happiness,You have some personal time and get to connect to the things that bring you joy! Happiness or health boost?,Happiness,Health ,10,-10,0,0,-10,10,0,0
Happiness,You've been working hard recently. You deserve some rest. Choose between a happiness or health bonus. ,Happiness ,Health ,10,-10,0,0,-10,10,0,0
Happiness,Are you interested in adopting a pet?,No,Yes,0,0,0,0,0,0,0,0
Happiness,You're thinking about adopting a pet! It will give your happiness a boost but take some money. Do you want a pet?,No,Yes,-10,0,10,0,10,0,-10,0
Happiness,You've been spending a lot of time with friends and feeling a sense of community. Take a happiness or health bonus. ,Happiness,Health ,10,-10,0,0,-10,10,0,0
Happiness,You're scheduling in some personal time for yourself every week. Take a happiness or health bonus.  ,Happiness,Health ,10,-10,0,0,-10,10,0,0
Investment,Investment Break! Are you interested in setting up a retirement plan? ,No,Yes,0,0,10,-10,0,0,-10,10
Investment,Investment Break! 401(k)s are retirement plans made through your employer and deduct from your paycheck. IRAs or Individual Retirement Accounts are controlled by the individual (you!). Each plan has its pros and cons. Which sounds more interesting to you? ,401(k),IRA ,0,0,0,0,0,0,0,0
Investment,Investment Break! The difference between a Roth IRA and a Traditional IRA is TAXES and when you pay them. Traditional IRAs give you benefits in the short-10term while Roth IRAs have benefits in the long-10run. We'll keep learning but first do you want to invest some of your money? ,No. ,Invest! ,0,0,10,0,0,0,-10,10
Investment,Investment Break! With a Traditional IRA when you make contributions in the account it’ll lower your tax bill for the year. Chi-10ching! BUT when you finally retire you won’t just be taxed on the amount you put in but also however much your account GREW. We'll keep learning but first do you want to invest some of your money? ,No. ,Invest! ,0,0,10,0,0,0,-10,10
Investment,Investment Break! With a Roth IRA you’ll have to contribute and you won’t get a tax deduction every year. But the money you put in will be tax free. That means that when you take it out when you retire everything you saved and however much it grew is ALL YOURS! Ch-10ching! We'll keep learning but first do you want to invest some of your money? ,No. ,Invest! ,0,0,10,0,0,0,-10,10
Investment,Investment Break! Traditional IRAs and Roths IRAs also have different time requirements. When you have a Traditional IRA the government makes you start to withdraw when you turn 72. Roth IRAs have no time requirement so it's up to you to decide what you do with your investment. We'll keep learning but first do you want to invest some of your money? ,No. ,Invest! ,0,0,10,0,0,0,-10,10
Investment,Investment Break! Don't forget-10-10an IRA needs your help to grow. When you put money in you need to choose how to invest it! (stocks bonds mutual funds or other investments) Unlike a savings account the money in an IRA is not meant to just sit there earning interest but to GROW over time. We'll keep learning but first do you want to invest some of your money? ,No. ,Invest! ,0,0,10,0,0,0,-10,10
Investment,Investment Break! Because 401(k)s are made through your job some employers offer to match your contributions. IRAs are individual so do not offer contribution matching. We'll keep learning but first do you want to invest some of your money? ,No. ,Invest! ,0,0,10,0,0,0,-10,10
Investment,Investment Break! 401(k)s typically only offer a limited number of investment options whereas IRAs have more freedom with how you want to invest your money. But remember with IRAs you have to do the work to make investment choices yourself! We'll keep learning but first do you want to invest some of your money? ,No. ,Invest! ,0,0,10,-10,0,0,-10,10
Investment,Investment Break! Now that you know a bit more about types of retirement plans which type of plan do you what to consider? ,401(k),IRA ,0,0,0,0,0,0,0,0
